drugs_CUI,Name
C0074769,sodium sulfate
C0037556,sodium tetradecyl sulfate
C0304347,sodium thiosalicylate
C0142971,sofalcone
C4726765,solriamfetol
C0143083,somatrem
C3886731,sonidegib
C1516119,sorafenib
C3502471,sotagliflozin
C0052585,sparfloxacin
C0001268,spectinomycin
C0961781,spinosad
C0075007,spirapril
C0038149,stanozolol
C0164662,stavudine
C0038326,Stibophen
C0075262,stiripentol
C0038425,streptomycin
C0936139,strontium ranelate
C0012384,succimer
C0075429,succinic acid
C0075432,succinimide
C3696416,sucroferric oxyhydroxide
C0143993,sufentanil
C0038665,sulbactam
C2348593,sulbentine
C0075503,sulconazole
C0075504,sulfabenzamide
C0038670,sulfacetamide
C0262960,sulfacytine
C0038675,sulfadiazine
C0037134,silver sulfadiazine
C0038745,sulfisoxazole
C0038687,sulfamethizole
C0038689,sulfamethoxazole
C0038702,sulfanilamide
C0038710,sulfapyridine
C0038722,sulfathiazole
C0038742,sulfinpyrazone
C3888064,Sulfogaiacol
C0038792,sulindac
C0038803,sulpiride
C1176020,sunitinib
C0038880,suramin
C3859426,"antihemophilic factor, porcine B-domain truncated recombinant"
C3179535,suvorexant
C0953467,tacalcitol
C2745274,tafamidis
C0903411,tafenoquine
C1451502,tafluprost
C4746084,tagraxofusp
C0245194,Talaporfin
C4726799,talazoparib tosylate
C0301407,talbutal
C3273401,taliglucerase alfa
C1831828,talimogene laherparepvec
C0075783,talinolol
C1567753,tamibarotene
C0074676,tandospirone
C2001271,tapentadol
C1313052,tasimelteon
C0937851,tasonermin
C0662811,tasosartan
C3642427,tavaborole
C4086895,tazemetostat
C0075870,tazobactam
C2713595,tecovirimat
C2930762,tedizolid phosphate
C1530889,teduglutide
C0016778,tegafur
C0145106,teicoplanin
C1876229,telaprevir
C1453642,telavancin
C1453933,telbivudine
C0907410,telithromycin
C4317559,telotristat ethyl
C0039468,temazepam
C0753183,Temocapril
C0379149,temoporfin
C0076080,temozolomide
C1707080,temsirolimus
C4043480,tenapanor
C2981308,Teneligliptin
C0076092,tenidap
C0039512,teniposide
C0603972,tenitramine
C3713958,tenofovir alafenamide
C0963398,tenofovir disoproxil
C0771436,tenonitrozole
C0076096,tenoxicam
C0076107,terazosin
C0076115,terconazole
C0058446,dironyl
C1718383,teriflunomide
C0076126,terodiline
C0304571,terpin
C1876200,tesamorelin
C0039600,testolactone
C0076181,testosterone cypionate
C0076189,testosterone enanthate
C0039607,testosterone propionate
C0076195,testosterone undecanoate
C0039629,tetracaine
C0010192,cosyntropin
C0039644,tetracycline
C0076295,tetramethrin
C3652618,"tetryzoline, combinations"
C4519194,tezacaftor
C0039832,thiabendazole
C3652612,"thiamazole, combinations"
C0039865,thiethylperazine
C0039834,Thioacetazone
C0076456,thiocolchicoside
C0023791,thioctic acid
C0039925,thiopental
C0039871,thiotepa
C0039955,thiothixene
C0068897,tiagabine
C0076653,tiaprofenic acid
C0076660,tibolone
C0040193,ticarcillin
C0040209,Ticrynafen
C1260298,tigecycline
C0040219,tilidine
C0043611,tiludronic acid
C0040263,tinidazole
C0076703,tinoridine
C3652604,tiocarlide
C0076705,tioconazole
C0025405,tiopronin
C4056441,tipiracil
C0663733,tipranavir
C2827667,tivozanib
C0146011,tizanidine
C0040341,tobramycin
C0085237,tocainide
C0606070,tocophersolan
C3501434,Tofogliflozin
C0040372,tolazamide
C0040373,tolazoline
C0040374,tolbutamide
C0040377,tolmetin
C0040379,tolnaftate
C0076804,toloxatone
C0040382,tolperisone
C0076808,tolrestat
C0772395,thonzonium
C4049065,topiroxostat
C0146224,topotecan
C0076840,torsemide
C1311070,trabectedin
C0757422,trafermin
C0040610,tramadol
C0076890,tramazoline
C2697961,trametinib
C0076891,trandolapril
C0146337,tranilast
C0040778,tranylcypromine
C4726900,trastuzumab deruxtecan
C2935436,ado-trastuzumab emtansine
C0937916,travoprost
C0040805,trazodone
C4045234,trelagliptin
C0094813,trepibutone
C0040975,Triethylenemelamine
C0040867,triamcinolone diacetate
C0077004,triamcinolone hexacetonide
C0040869,triamterene
C0040879,triazolam
C0040899,trichlormethiazide
C0077081,tridihexethyl
C0040976,trientine
C4519213,trifarotene
C0040979,trifluoperazine
C0040989,triflupromazine
C0040987,trifluridine
C0041009,trihexyphenidyl
C0077147,trimazosin
C0041040,trimethaphan
C0041037,trimetazidine
C0041038,trimethadione
C0077163,trimethobenzamide
C0041056,trimipramine
C0041086,trioxsalen
C0041090,tripelennamine
C0041098,triprolidine
C0077089,triethanolamine
C0765538,dexketoprofen trometamol
C0041190,tropicamide
C0063322,tropisetron
C0772089,trospium
C0379881,trovafloxacin
C0147037,troxipide
C4519167,tucatinib
C0077497,tulobuterol
C3529563,turoctocog alfa
C4727763,Turoctocog alfa pegol
C0077539,tyloxapol
C0041479,tyramine
C0041536,ubidecarenone
C1742789,udenafil
C0300205,ulipristal
C3661274,umeclidinium
C0254211,umifenovir
C0041660,undecylenic acid
C0527038,isopropyl unoprostone
C0041920,uracil mustard
C0281351,uridine triacetate
C4519317,vaborbactam
C4078701,valbenazine
C0913246,valdecoxib
C0068314,valrubicin
C0042313,vancomycin
C1121849,vandetanib
C2931927,vaniprevir
C1705480,vasopressin (USP)
C2919267,velaglucerase alfa
C4079582,velpatasvir
C0078569,venlafaxine
C2001572,vernakalant
C0387288,verteporfin
C4519728,vestronidase alfa
C4279743,vibegron
C0042646,vidarabine
C2935023,vilanterol
C0042665,viloxazine
C0042670,vinblastine
C0042679,vincristine
C0042682,vindesine
C0672663,vinflunine
C0059752,vinpocetine
C3530172,Vintafolide
C2987716,vismodegib
C4726970,volanesorsen
C4291409,vonicog alfa
C4080009,vonoprazan
C2974521,vorapaxar
C0672708,vorinostat
C3661282,vortioxetine
C4507236,voxilaprevir
C0043355,xipamide
C0078643,xylometazoline
C2826065,zabofloxacin
C0012132,zalcitabine
C0251504,zaleplon
C4683810,zanubrutinib
C0211011,ziconotide
C0081408,zileuton
C0149368,zinc acetate
C0078774,zinc chloride
C0149381,zinc gluconate
C0043491,zinc oxide
C0078794,zinc sulfate
C0078811,zipeprol
C0380393,ziprasidone
C0078836,zofenopril
C0078839,zolpidem
C0376160,zuclopenthixol
C1176309,bortezomib
C0066673,moclobemide
C1145701,amphotericin B liposomal
C0037659,somatostatin
C0073571,ropivacaine
C0031716,phosphorylcholine
C0049065,decitabine
C0028420,nortriptyline
C0010725,citicoline
C0006463,busulfan
C0168388,reboxetine
C0087162,vitamin B6
C0032857,povidone-iodine
C0004475,azacitidine
C0003993,asparaginase
C0057277,Dehydroepiandrosterone Sulfate
C0076823,atomoxetine
C0076612,thymalfasin
C0006462,buspirone
C0039943,thioridazine
C0009010,clomipramine
C0028215,nitrous oxide
C0049506,mirtazapine
C0009170,cocaine
C0020823,ifosfamide
C0873118,levobupivacaine
C0178487,ascorbate
C0015020,amifostine
C0030896,pentostatin
C0008932,clenbuterol
C0210657,pemetrexed
C0025384,mepivacaine
C0765273,bexarotene
C0392938,zoledronate
C0026933,mycophenolic acid
C0935916,fulvestrant
C0969677,alpha tocopherol
C0284941,acamprosate
