drugs_CUI,Name
C1579268,Mineralocorticoid Receptor Antagonists
C4519199,lasmiditan
C4726929,upadacitinib
C0965129,rosuvastatin
C0033306,Progestins
C0591251,Chloromycetin
C1533126,milnacipran
C0015505,factor VIIa
C1518041,Luteinizing Hormone-releasing Hormone Agonist
C1268900,Error: 404
C0042845,vitamin B12
C0010347,cromoglycate
C5433947,sotrovimab
C0074722,sodium bicarbonate
C0022642,ketotifen
C0031990,piroxicam
C0886658,nedocromil sodium
C0033487,propofol
C1959590,Erythropoiesis Stimulating Agents
C0935989,imatinib
C0969324,mepolizumab
C0015827,fenfluramine
C0017642,glipizide
C0537147,tegaserod
C0037533,sodium nitroprusside
C0016410,folic acid
C2975435,edoxaban
C0022616,ketanserin
C0288792,tazarotene
C0379199,ibandronate
C4078709,vericiguat
C0937932,rasburicase
C0037707,sotalol
C2974540,canagliflozin
C0072916,cisapride
C0005382,Biguanides
C4278463,emicizumab
C2348066,dabigatran
C0020268,hydrocortisone
C0036581,selenium
C4045974,Biosimilars
C0066677,modafinil
C0041014,liothyronine
C0024027,lovastatin
C0052429,artemether
C0016278,flucytosine
C4301607,burosumab
C0028127,nitrendipine
C0001644,Adrenergic beta-Agonists
C0027866,Neuromuscular Blocking Agents
C0982327,PEGINTERFERON
C0026078,midodrine
C0023556,levamisole
C0016384,flutamide
C1443923,Oral rehydration solution
C0128513,milrinone
C0302210,Gold salt
C0072973,ramipril
C1176329,ambrisentan
C0772394,lepirudin
C0039286,tamoxifen
C0085228,fluvoxamine
C0030899,pentoxifylline
C0245514,troglitazone
C0015506|1351,Error: 404
C0025746,methylene blue
C0014710,ergotamine
C0368663,aminosalicylate
C0281666,alitretinoin
C1098510,fondaparinux
C0006983,carbimazole
C0055891,clobazam
C0033429,propafenone
C0700580,ipratropium bromide
C0162745,collagenase
C0675175,cysteinyl-leukotriene
C4043954,tildrakizumab
C0304509,Inotropic agent (substance)
C0001041,acetylcholine
C0010976,dantrolene
C0057257,defibrotide
C0796545,peginterferon alfa-2b
C0025887,mexiletine
C0007036,Carbonic Anhydrase Inhibitors
C0220821,dihydropyridine
C0018318,guanethidine
C0055729,cilostazol
C0013232,"Drugs, Orphan"
C0206460,enoxaparin
C0302837,Vitamin supplementation
C0071972,cilastatin / imipenem
